#     FILENAME=!Skynet_57528_lach-cc-209_20616_21050.cyb.fits
#     BASENAME=Skynet_57528_lach-cc-209_20616_21050
#     SRC_NAME=lach-cc-209
#     OBSERVER=ccmadison16_9505
#     DATE_OBS=2016-05-20T20:16:51.250
#        OBSID=20616
#      SCANNUM=21050
#          MJD=57528.8461
#          UTC=73101
#     SCANTYPE=track
#     DATAMODE=HIRES
#     TUNEFREQ=1420.0000
# Actual_FREQ1=1420.0000
# Actual_FREQ2=1420.0000
#    LO1Tuning=6870.000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#        NCHAN=1024 
#        FOCUS=37.0709
#           RA=06:44:14.01
#          DEC=03:29:55.45
#      RA(hrs)=6.737200
#     DEC(deg)=3.498700
#    AZIM(deg)=182.990
#    ELEV(deg)=54.859
#     IFattens=10.00, 9.00
#      WARNING=None
#    TCAL_XL1=7.9635
#    TCAL_YR1=9.1340
#    TCAL_XL2=7.9635
#    TCAL_YR2=9.1340
#     TRX_XL1=11.7060
#     TRX_YR1=11.7060
#     TRX_XL2=11.7060
#     TRX_YR2=11.7060
#        TAVE=1.0000
#Freq1(MHz)          XL1          YR1  Freq2(MHz)          XL2          YR2 

   1427.81250     355.9501     262.5360   1427.81250     355.9501     262.5360
   1427.79724     356.9983     263.1514   1427.79724     356.9983     263.1514
   1427.78198     357.1114     264.0628   1427.78198     357.1114     264.0628
   1427.76672     357.5142     264.3451   1427.76672     357.5142     264.3451
   1427.75146     358.7962     265.0904   1427.75146     358.7962     265.0904
   1427.73621     359.7042     266.1916   1427.73621     359.7042     266.1916
   1427.72095     360.5018     266.9066   1427.72095     360.5018     266.9066
   1427.70569     361.3447     267.6938   1427.70569     361.3447     267.6938
   1427.69043     362.2568     268.8950   1427.69043     362.2568     268.8950
   1427.67517     363.1089     269.9889   1427.67517     363.1089     269.9889
   1427.65991     364.5906     270.9431   1427.65991     364.5906     270.9431
   1427.64465     365.5516     272.4240   1427.64465     365.5516     272.4240
   1427.62939     366.5984     272.9978   1427.62939     366.5984     272.9978
   1427.61414     367.8412     273.9395   1427.61414     367.8412     273.9395
   1427.59888     368.8591     275.4098   1427.59888     368.8591     275.4098
   1427.58362     370.5099     276.7146   1427.58362     370.5099     276.7146
   1427.56836     371.6218     277.8345   1427.56836     371.6218     277.8345
   1427.55310     373.4312     279.0674   1427.55310     373.4312     279.0674
   1427.53784     374.6930     280.1801   1427.53784     374.6930     280.1801
   1427.52258     375.8378     281.6563   1427.52258     375.8378     281.6563
   1427.50732     377.4431     283.3547   1427.50732     377.4431     283.3547
   1427.49207     378.9214     284.6700   1427.49207     378.9214     284.6700
   1427.47681     380.9376     285.9371   1427.47681     380.9376     285.9371
   1427.46155     382.4448     288.2270   1427.46155     382.4448     288.2270
   1427.44629     384.1043     289.0464   1427.44629     384.1043     289.0464
   1427.43103     385.8685     290.4825   1427.43103     385.8685     290.4825
   1427.41577     387.7307     292.5304   1427.41577     387.7307     292.5304
   1427.40051     389.9135     293.9860   1427.40051     389.9135     293.9860
   1427.38525     391.0066     295.9834   1427.38525     391.0066     295.9834
   1427.37000     393.4781     297.2629   1427.37000     393.4781     297.2629
   1427.35474     395.0013     299.0338   1427.35474     395.0013     299.0338
   1427.33948     397.6428     301.0426   1427.33948     397.6428     301.0426
   1427.32422     399.7306     302.5970   1427.32422     399.7306     302.5970
   1427.30896     402.2748     304.3152   1427.30896     402.2748     304.3152
   1427.29370     403.5310     306.5749   1427.29370     403.5310     306.5749
   1427.27844     405.7866     308.2519   1427.27844     405.7866     308.2519
   1427.26318     407.5744     309.9787   1427.26318     407.5744     309.9787
   1427.24792     411.0754     312.1332   1427.24792     411.0754     312.1332
   1427.23267     412.6655     314.1164   1427.23267     412.6655     314.1164
   1427.21741     414.7381     316.2531   1427.21741     414.7381     316.2531
   1427.20215     416.8966     318.2314   1427.20215     416.8966     318.2314
   1427.18689     419.6240     320.2293   1427.18689     419.6240     320.2293
   1427.17163     421.7005     322.3205   1427.17163     421.7005     322.3205
   1427.15637     423.3985     324.2715   1427.15637     423.3985     324.2715
   1427.14111     427.4497     325.7969   1427.14111     427.4497     325.7969
   1427.12585     429.1743     328.4997   1427.12585     429.1743     328.4997
   1427.11060     431.4563     330.7610   1427.11060     431.4563     330.7610
   1427.09534     434.2892     332.9602   1427.09534     434.2892     332.9602
   1427.08008     436.6457     335.2970   1427.08008     436.6457     335.2970
   1427.06482     439.5333     337.1479   1427.06482     439.5333     337.1479
   1427.04956     441.9566     339.8664   1427.04956     441.9566     339.8664
   1427.03430     444.3755     342.2001   1427.03430     444.3755     342.2001
   1427.01904     447.0860     343.7715   1427.01904     447.0860     343.7715
   1427.00378     450.0092     346.4085   1427.00378     450.0092     346.4085
   1426.98853     452.5333     348.6637   1426.98853     452.5333     348.6637
   1426.97327     455.2932     350.7397   1426.97327     455.2932     350.7397
   1426.95801     457.9314     352.7193   1426.95801     457.9314     352.7193
   1426.94275     460.0875     355.2751   1426.94275     460.0875     355.2751
   1426.92749     464.0777     357.8554   1426.92749     464.0777     357.8554
   1426.91223     465.7715     360.8083   1426.91223     465.7715     360.8083
   1426.89697     468.8506     363.0308   1426.89697     468.8506     363.0308
   1426.88171     472.2412     365.2295   1426.88171     472.2412     365.2295
   1426.86646     474.4702     368.3810   1426.86646     474.4702     368.3810
   1426.85120     477.4556     370.1635   1426.85120     477.4556     370.1635
   1426.83594     480.7576     372.7523   1426.83594     480.7576     372.7523
   1426.82068     483.0631     375.1331   1426.82068     483.0631     375.1331
   1426.80542     486.3922     377.4552   1426.80542     486.3922     377.4552
   1426.79016     489.0678     380.4445   1426.79016     489.0678     380.4445
   1426.77490     491.6642     382.7589   1426.77490     491.6642     382.7589
   1426.75964     494.6047     384.5883   1426.75964     494.6047     384.5883
   1426.74438     497.8261     387.6140   1426.74438     497.8261     387.6140
   1426.72913     499.7612     389.9691   1426.72913     499.7612     389.9691
   1426.71387     503.8157     392.2348   1426.71387     503.8157     392.2348
   1426.69861     505.6903     395.2012   1426.69861     505.6903     395.2012
   1426.68335     508.3077     397.6443   1426.68335     508.3077     397.6443
   1426.66809     511.4400     399.9784   1426.66809     511.4400     399.9784
   1426.65283     514.8977     403.2129   1426.65283     514.8977     403.2129
   1426.63757     516.9252     404.3772   1426.63757     516.9252     404.3772
   1426.62231     520.9183     410.2215   1426.62231     520.9183     410.2215
   1426.60706     522.8026     410.4117   1426.60706     522.8026     410.4117
   1426.59180     524.9922     412.3941   1426.59180     524.9922     412.3941
   1426.57654     528.4290     415.4784   1426.57654     528.4290     415.4784
   1426.56128     531.5024     417.4008   1426.56128     531.5024     417.4008
   1426.54602     534.9855     420.3194   1426.54602     534.9855     420.3194
   1426.53076     536.1456     422.1158   1426.53076     536.1456     422.1158
   1426.51550     539.6296     425.3332   1426.51550     539.6296     425.3332
   1426.50024     542.5954     427.5883   1426.50024     542.5954     427.5883
   1426.48499     546.0820     430.1068   1426.48499     546.0820     430.1068
   1426.46973     548.5200     432.7003   1426.46973     548.5200     432.7003
   1426.45447     550.9147     435.2534   1426.45447     550.9147     435.2534
   1426.43921     554.7194     437.6831   1426.43921     554.7194     437.6831
   1426.42395     557.0464     440.5016   1426.42395     557.0464     440.5016
   1426.40869     560.1690     442.5618   1426.40869     560.1690     442.5618
   1426.39343     561.8909     445.3306   1426.39343     561.8909     445.3306
   1426.37817     565.2697     447.4210   1426.37817     565.2697     447.4210
   1426.36292     567.5961     450.3255   1426.36292     567.5961     450.3255
   1426.34766     570.9914     452.4465   1426.34766     570.9914     452.4465
   1426.33240     574.0601     455.2651   1426.33240     574.0601     455.2651
   1426.31714     575.9646     457.5955   1426.31714     575.9646     457.5955
   1426.30188     577.8293     459.5309   1426.30188     577.8293     459.5309
   1426.28662     581.6378     462.0699   1426.28662     581.6378     462.0699
   1426.27136     584.6009     464.1110   1426.27136     584.6009     464.1110
   1426.25610     586.3301     467.0653   1426.25610     586.3301     467.0653
   1426.24084     588.7078     469.9078   1426.24084     588.7078     469.9078
   1426.22559     592.0938     471.6103   1426.22559     592.0938     471.6103
   1426.21033     594.3640     474.7398   1426.21033     594.3640     474.7398
   1426.19507     596.6800     476.6389   1426.19507     596.6800     476.6389
   1426.17981     599.5369     478.4163   1426.17981     599.5369     478.4163
   1426.16455     601.9896     480.4625   1426.16455     601.9896     480.4625
   1426.14929     604.2893     483.2387   1426.14929     604.2893     483.2387
   1426.13403     606.3066     486.0621   1426.13403     606.3066     486.0621
   1426.11877     608.9484     488.5369   1426.11877     608.9484     488.5369
   1426.10352     610.9032     489.2721   1426.10352     610.9032     489.2721
   1426.08826     613.4038     492.2751   1426.08826     613.4038     492.2751
   1426.07300     616.3251     494.7297   1426.07300     616.3251     494.7297
   1426.05774     618.4287     496.5565   1426.05774     618.4287     496.5565
   1426.04248     620.5120     498.4730   1426.04248     620.5120     498.4730
   1426.02722     622.9075     500.5459   1426.02722     622.9075     500.5459
   1426.01196     625.4279     502.3630   1426.01196     625.4279     502.3630
   1425.99670     628.1847     505.5411   1425.99670     628.1847     505.5411
   1425.98145     628.6013     506.9451   1425.98145     628.6013     506.9451
   1425.96619     631.7913     508.9456   1425.96619     631.7913     508.9456
   1425.95093     634.1571     511.1293   1425.95093     634.1571     511.1293
   1425.93567     635.4810     512.5802   1425.93567     635.4810     512.5802
   1425.92041     637.2549     515.8462   1425.92041     637.2549     515.8462
   1425.90515     640.5327     517.8464   1425.90515     640.5327     517.8464
   1425.88989     641.3940     519.4600   1425.88989     641.3940     519.4600
   1425.87463     643.4588     522.0073   1425.87463     643.4588     522.0073
   1425.85938     645.7900     523.6521   1425.85938     645.7900     523.6521
   1425.84412     646.7022     525.8456   1425.84412     646.7022     525.8456
   1425.82886     650.5746     527.2231   1425.82886     650.5746     527.2231
   1425.81360     651.5323     529.4211   1425.81360     651.5323     529.4211
   1425.79834     653.4323     530.8249   1425.79834     653.4323     530.8249
   1425.78308     655.3245     533.1628   1425.78308     655.3245     533.1628
   1425.76782     656.9984     534.3185   1425.76782     656.9984     534.3185
   1425.75256     658.3117     536.5907   1425.75256     658.3117     536.5907
   1425.73730     660.2380     537.7292   1425.73730     660.2380     537.7292
   1425.72205     661.6244     540.1879   1425.72205     661.6244     540.1879
   1425.70679     663.4344     541.9482   1425.70679     663.4344     541.9482
   1425.69153     665.5536     543.7631   1425.69153     665.5536     543.7631
   1425.67627     667.3487     544.8201   1425.67627     667.3487     544.8201
   1425.66101     669.1352     546.8589   1425.66101     669.1352     546.8589
   1425.64575     670.8384     548.8654   1425.64575     670.8384     548.8654
   1425.63049     670.9637     550.1479   1425.63049     670.9637     550.1479
   1425.61523     673.1879     551.4045   1425.61523     673.1879     551.4045
   1425.59998     673.7271     554.0455   1425.59998     673.7271     554.0455
   1425.58472     677.9260     555.6633   1425.58472     677.9260     555.6633
   1425.56946     677.2827     556.7184   1425.56946     677.2827     556.7184
   1425.55420     679.4086     558.6019   1425.55420     679.4086     558.6019
   1425.53894     679.7707     559.9814   1425.53894     679.7707     559.9814
   1425.52368     681.2479     562.5021   1425.52368     681.2479     562.5021
   1425.50842     682.6302     563.4244   1425.50842     682.6302     563.4244
   1425.49316     684.0037     564.4506   1425.49316     684.0037     564.4506
   1425.47791     684.3950     565.6553   1425.47791     684.3950     565.6553
   1425.46265     686.0613     568.0338   1425.46265     686.0613     568.0338
   1425.44739     688.1559     568.1479   1425.44739     688.1559     568.1479
   1425.43213     688.8716     570.6796   1425.43213     688.8716     570.6796
   1425.41687     689.9763     574.6106   1425.41687     689.9763     574.6106
   1425.40161     691.2162     572.7107   1425.40161     691.2162     572.7107
   1425.38635     691.4231     574.9346   1425.38635     691.4231     574.9346
   1425.37109     694.0349     575.3499   1425.37109     694.0349     575.3499
   1425.35583     694.4808     576.4973   1425.35583     694.4808     576.4973
   1425.34058     694.8206     577.7274   1425.34058     694.8206     577.7274
   1425.32532     694.8436     580.7436   1425.32532     694.8436     580.7436
   1425.31006     696.6325     581.3380   1425.31006     696.6325     581.3380
   1425.29480     698.0377     582.6913   1425.29480     698.0377     582.6913
   1425.27954     698.5975     582.8174   1425.27954     698.5975     582.8174
   1425.26428     697.3386     585.1246   1425.26428     697.3386     585.1246
   1425.24902     699.9363     586.2032   1425.24902     699.9363     586.2032
   1425.23376     699.2325     587.1559   1425.23376     699.2325     587.1559
   1425.21851     701.5483     588.9291   1425.21851     701.5483     588.9291
   1425.20325     702.6760     588.9743   1425.20325     702.6760     588.9743
   1425.18799     703.4171     590.9954   1425.18799     703.4171     590.9954
   1425.17273     703.9499     591.5726   1425.17273     703.9499     591.5726
   1425.15747     705.2186     593.2614   1425.15747     705.2186     593.2614
   1425.14221     704.7096     593.1483   1425.14221     704.7096     593.1483
   1425.12695     705.8551     593.6247   1425.12695     705.8551     593.6247
   1425.11169     707.1328     595.5552   1425.11169     707.1328     595.5552
   1425.09644     707.5673     597.0477   1425.09644     707.5673     597.0477
   1425.08118     707.5493     598.6474   1425.08118     707.5493     598.6474
   1425.06592     707.6597     598.3095   1425.06592     707.6597     598.3095
   1425.05066     709.3604     599.2690   1425.05066     709.3604     599.2690
   1425.03540     709.0545     601.0241   1425.03540     709.0545     601.0241
   1425.02014     709.6273     602.1540   1425.02014     709.6273     602.1540
   1425.00488     709.4121     601.7485   1425.00488     709.4121     601.7485
   1424.98962     709.4663     602.8950   1424.98962     709.4663     602.8950
   1424.97437     711.7908     604.0177   1424.97437     711.7908     604.0177
   1424.95911     710.5881     604.3367   1424.95911     710.5881     604.3367
   1424.94385     711.2894     605.8395   1424.94385     711.2894     605.8395
   1424.92859     712.3691     606.9622   1424.92859     712.3691     606.9622
   1424.91333     712.9836     606.9098   1424.91333     712.9836     606.9098
   1424.89807     713.5638     608.5367   1424.89807     713.5638     608.5367
   1424.88281     713.8677     608.1506   1424.88281     713.8677     608.1506
   1424.86755     713.6212     609.2041   1424.86755     713.6212     609.2041
   1424.85229     713.7954     610.4890   1424.85229     713.7954     610.4890
   1424.83704     714.2935     610.5264   1424.83704     714.2935     610.5264
   1424.82178     714.1722     611.2565   1424.82178     714.1722     611.2565
   1424.80652     714.0134     612.5286   1424.80652     714.0134     612.5286
   1424.79126     714.5967     612.9431   1424.79126     714.5967     612.9431
   1424.77600     714.1070     613.7812   1424.77600     714.1070     613.7812
   1424.76074     715.0303     614.1598   1424.76074     715.0303     614.1598
   1424.74548     714.5783     614.4481   1424.74548     714.5783     614.4481
   1424.73022     715.0361     615.5142   1424.73022     715.0361     615.5142
   1424.71497     714.9042     616.3309   1424.71497     714.9042     616.3309
   1424.69971     715.8301     616.6223   1424.69971     715.8301     616.6223
   1424.68445     716.5659     615.6014   1424.68445     716.5659     615.6014
   1424.66919     714.4285     617.7532   1424.66919     714.4285     617.7532
   1424.65393     715.1547     617.9828   1424.65393     715.1547     617.9828
   1424.63867     715.6005     617.9024   1424.63867     715.6005     617.9024
   1424.62341     715.2421     618.1813   1424.62341     715.2421     618.1813
   1424.60815     714.2794     618.2848   1424.60815     714.2794     618.2848
   1424.59290     713.6763     619.0193   1424.59290     713.6763     619.0193
   1424.57764     715.6066     620.6188   1424.57764     715.6066     620.6188
   1424.56238     714.7894     619.4859   1424.56238     714.7894     619.4859
   1424.54712     714.8270     621.2383   1424.54712     714.8270     621.2383
   1424.53186     714.6948     621.3871   1424.53186     714.6948     621.3871
   1424.51660     715.6753     621.4142   1424.51660     715.6753     621.4142
   1424.50134     715.0536     619.9932   1424.50134     715.0536     619.9932
   1424.48608     714.3460     621.2236   1424.48608     714.3460     621.2236
   1424.47083     714.3770     622.5200   1424.47083     714.3770     622.5200
   1424.45557     714.9578     621.2991   1424.45557     714.9578     621.2991
   1424.44031     715.4112     621.5054   1424.44031     715.4112     621.5054
   1424.42505     714.1531     623.3776   1424.42505     714.1531     623.3776
   1424.40979     713.3961     623.0620   1424.40979     713.3961     623.0620
   1424.39453     715.2021     624.3306   1424.39453     715.2021     624.3306
   1424.37927     714.2764     623.5411   1424.37927     714.2764     623.5411
   1424.36401     714.9759     624.4794   1424.36401     714.9759     624.4794
   1424.34875     713.3760     624.6906   1424.34875     713.3760     624.6906
   1424.33350     714.6096     624.4067   1424.33350     714.6096     624.4067
   1424.31824     713.4149     625.5137   1424.31824     713.4149     625.5137
   1424.30298     713.6901     624.4996   1424.30298     713.6901     624.4996
   1424.28772     713.3205     624.8602   1424.28772     713.3205     624.8602
   1424.27246     712.4142     624.6808   1424.27246     712.4142     624.6808
   1424.25720     713.5424     624.3539   1424.25720     713.5424     624.3539
   1424.24194     712.3630     624.4572   1424.24194     712.3630     624.4572
   1424.22668     711.6816     624.2660   1424.22668     711.6816     624.2660
   1424.21143     712.0736     625.1039   1424.21143     712.0736     625.1039
   1424.19617     711.8826     624.6346   1424.19617     711.8826     624.6346
   1424.18091     711.3998     624.7946   1424.18091     711.3998     624.7946
   1424.16565     710.8922     624.6048   1424.16565     710.8922     624.6048
   1424.15039     710.5776     624.3962   1424.15039     710.5776     624.3962
