#     FILENAME=!Skynet_57528_lach-hhg-180_20571_21003.cyb.fits
#     BASENAME=Skynet_57528_lach-hhg-180_20571_21003
#     SRC_NAME=lach-hhg-180
#     OBSERVER=hhgmadison16_9500
#     DATE_OBS=2016-05-20T18:40:11.620
#        OBSID=20571
#      SCANNUM=21003
#          MJD=57528.7790
#          UTC=67300
#     SCANTYPE=track
#     DATAMODE=HIRES
#     TUNEFREQ=1420.0000
# Actual_FREQ1=1420.0000
# Actual_FREQ2=1420.0000
#    LO1Tuning=6870.000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#        NCHAN=1024 
#        FOCUS=37.0709
#           RA=05:45:34.65
#          DEC=28:56:10.21
#      RA(hrs)=5.759600
#     DEC(deg)=28.936200
#    AZIM(deg)=143.767
#    ELEV(deg)=78.503
#     IFattens=10.00, 9.00
#      WARNING=None
#    TCAL_XL1=7.9635
#    TCAL_YR1=9.1340
#    TCAL_XL2=7.9635
#    TCAL_YR2=9.1340
#     TRX_XL1=11.7060
#     TRX_YR1=11.7060
#     TRX_XL2=11.7060
#     TRX_YR2=11.7060
#        TAVE=1.0000
#Freq1(MHz)          XL1          YR1  Freq2(MHz)          XL2          YR2 

   1427.81250     378.4919     343.5099   1427.81250     378.4919     343.5099
   1427.79724     378.4152     345.2254   1427.79724     378.4152     345.2254
   1427.78198     379.8462     347.0185   1427.78198     379.8462     347.0185
   1427.76672     380.2609     348.6032   1427.76672     380.2609     348.6032
   1427.75146     380.7443     350.0445   1427.75146     380.7443     350.0445
   1427.73621     381.8947     352.6442   1427.73621     381.8947     352.6442
   1427.72095     383.0099     354.0683   1427.72095     383.0099     354.0683
   1427.70569     383.9487     355.8960   1427.70569     383.9487     355.8960
   1427.69043     384.8310     358.3204   1427.69043     384.8310     358.3204
   1427.67517     385.4810     360.3321   1427.67517     385.4810     360.3321
   1427.65991     387.2367     361.7254   1427.65991     387.2367     361.7254
   1427.64465     387.8748     364.4793   1427.64465     387.8748     364.4793
   1427.62939     389.4908     366.7222   1427.62939     389.4908     366.7222
   1427.61414     390.1301     367.9395   1427.61414     390.1301     367.9395
   1427.59888     392.0415     370.6102   1427.59888     392.0415     370.6102
   1427.58362     393.3817     372.4145   1427.58362     393.3817     372.4145
   1427.56836     395.1862     375.4829   1427.56836     395.1862     375.4829
   1427.55310     395.9640     377.6134   1427.55310     395.9640     377.6134
   1427.53784     397.7202     379.9710   1427.53784     397.7202     379.9710
   1427.52258     399.0778     382.0883   1427.52258     399.0778     382.0883
   1427.50732     401.6314     384.9331   1427.50732     401.6314     384.9331
   1427.49207     402.5179     387.1446   1427.49207     402.5179     387.1446
   1427.47681     404.0040     389.4638   1427.47681     404.0040     389.4638
   1427.46155     406.6324     392.0519   1427.46155     406.6324     392.0519
   1427.44629     407.8266     394.9346   1427.44629     407.8266     394.9346
   1427.43103     409.8741     397.4480   1427.43103     409.8741     397.4480
   1427.41577     412.0497     400.4058   1427.41577     412.0497     400.4058
   1427.40051     413.2528     402.5011   1427.40051     413.2528     402.5011
   1427.38525     415.8901     404.8214   1427.38525     415.8901     404.8214
   1427.37000     418.0077     408.2326   1427.37000     418.0077     408.2326
   1427.35474     420.0319     409.8043   1427.35474     420.0319     409.8043
   1427.33948     421.6537     413.1382   1427.33948     421.6537     413.1382
   1427.32422     424.4604     416.3151   1427.32422     424.4604     416.3151
   1427.30896     425.9365     418.6434   1427.30896     425.9365     418.6434
   1427.29370     428.7843     421.3009   1427.29370     428.7843     421.3009
   1427.27844     431.5234     424.1070   1427.27844     431.5234     424.1070
   1427.26318     433.0901     427.6384   1427.26318     433.0901     427.6384
   1427.24792     435.5493     430.1656   1427.24792     435.5493     430.1656
