#     FILENAME=!Skynet_57528_lach-cc-236_20652_21020.cyb.fits
#     BASENAME=Skynet_57528_lach-cc-236_20652_21020
#     SRC_NAME=lach-cc-236
#     OBSERVER=ccmadison16_9505
#     DATE_OBS=2016-05-20T19:15:54.560
#        OBSID=20652
#      SCANNUM=21020
#          MJD=57528.8038
#          UTC=69444
#     SCANTYPE=track
#     DATAMODE=HIRES
#     TUNEFREQ=1420.0000
# Actual_FREQ1=1420.0000
# Actual_FREQ2=1420.0000
#    LO1Tuning=6870.000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#        NCHAN=1024 
#        FOCUS=37.0709
#           RA=07:35:25.20
#          DEC=-20:24:36.89
#      RA(hrs)=7.590300
#     DEC(deg)=-20.410200
#    AZIM(deg)=152.208
#    ELEV(deg)=26.098
#     IFattens=10.00, 9.00
#      WARNING=None
#    TCAL_XL1=7.9635
#    TCAL_YR1=9.1340
#    TCAL_XL2=7.9635
#    TCAL_YR2=9.1340
#     TRX_XL1=11.7060
#     TRX_YR1=11.7060
#     TRX_XL2=11.7060
#     TRX_YR2=11.7060
#        TAVE=1.0000
#Freq1(MHz)          XL1          YR1  Freq2(MHz)          XL2          YR2 

   1427.81250     368.9460     290.0266   1427.81250     368.9460     290.0266
   1427.79724     369.4643     290.3971   1427.79724     369.4643     290.3971
   1427.78198     370.2586     291.2482   1427.78198     370.2586     291.2482
   1427.76672     370.7661     291.7068   1427.76672     370.7661     291.7068
   1427.75146     371.9604     291.9799   1427.75146     371.9604     291.9799
   1427.73621     372.7265     293.2402   1427.73621     372.7265     293.2402
   1427.72095     373.6535     294.0718   1427.72095     373.6535     294.0718
   1427.70569     374.6210     293.9182   1427.70569     374.6210     293.9182
   1427.69043     375.6471     295.0404   1427.69043     375.6471     295.0404
   1427.67517     377.1087     295.6842   1427.67517     377.1087     295.6842
   1427.65991     377.4888     296.6361   1427.65991     377.4888     296.6361
   1427.64465     379.3706     297.5226   1427.64465     379.3706     297.5226
   1427.62939     380.2845     299.0284   1427.62939     380.2845     299.0284
   1427.61414     382.3091     299.2825   1427.61414     382.3091     299.2825
   1427.59888     382.5665     301.0367   1427.59888     382.5665     301.0367
   1427.58362     384.2478     301.9745   1427.58362     384.2478     301.9745
   1427.56836     385.5978     302.3596   1427.56836     385.5978     302.3596
   1427.55310     387.3914     303.6394   1427.55310     387.3914     303.6394
   1427.53784     388.9711     305.2016   1427.53784     388.9711     305.2016
   1427.52258     390.9266     305.9741   1427.52258     390.9266     305.9741
   1427.50732     392.0800     307.5620   1427.50732     392.0800     307.5620
   1427.49207     393.2846     308.8077   1427.49207     393.2846     308.8077
   1427.47681     396.0266     310.3268   1427.47681     396.0266     310.3268
   1427.46155     398.1658     312.1396   1427.46155     398.1658     312.1396
   1427.44629     400.0135     313.0189   1427.44629     400.0135     313.0189
   1427.43103     400.6892     314.5229   1427.43103     400.6892     314.5229
   1427.41577     402.3035     315.8928   1427.41577     402.3035     315.8928
   1427.40051     404.7588     317.5398   1427.40051     404.7588     317.5398
   1427.38525     406.9241     318.5469   1427.38525     406.9241     318.5469
   1427.37000     409.2185     320.2621   1427.37000     409.2185     320.2621
   1427.35474     410.9470     322.1360   1427.35474     410.9470     322.1360
   1427.33948     412.8460     323.6646   1427.33948     412.8460     323.6646
   1427.32422     415.0062     325.1774   1427.32422     415.0062     325.1774
   1427.30896     418.1073     326.8146   1427.30896     418.1073     326.8146
   1427.29370     419.8243     328.7015   1427.29370     419.8243     328.7015
   1427.27844     421.6043     330.1110   1427.27844     421.6043     330.1110
   1427.26318     423.9695     332.5008   1427.26318     423.9695     332.5008
   1427.24792     426.6738     334.1101   1427.24792     426.6738     334.1101
   1427.23267     428.3537     335.8434   1427.23267     428.3537     335.8434
   1427.21741     431.7699     337.7352   1427.21741     431.7699     337.7352
   1427.20215     433.2157     339.7563   1427.20215     433.2157     339.7563
   1427.18689     436.2027     342.0087   1427.18689     436.2027     342.0087
   1427.17163     438.5378     343.2191   1427.17163     438.5378     343.2191
   1427.15637     441.8822     345.0461   1427.15637     441.8822     345.0461
   1427.14111     443.5551     348.0971   1427.14111     443.5551     348.0971
   1427.12585     446.3635     349.7299   1427.12585     446.3635     349.7299
   1427.11060     448.2709     351.5258   1427.11060     448.2709     351.5258
   1427.09534     451.8864     353.7085   1427.09534     451.8864     353.7085
   1427.08008     454.3034     356.0068   1427.08008     454.3034     356.0068
   1427.06482     457.4252     358.1934   1427.06482     457.4252     358.1934
   1427.04956     460.3908     359.7982   1427.04956     460.3908     359.7982
   1427.03430     461.9673     361.8098   1427.03430     461.9673     361.8098
