#     FILENAME=!Skynet_57528_lach-cc-227_20643_21031.cyb.fits
#     BASENAME=Skynet_57528_lach-cc-227_20643_21031
#     SRC_NAME=lach-cc-227
#     OBSERVER=ccmadison16_9505
#     DATE_OBS=2016-05-20T19:38:20.620
#        OBSID=20643
#      SCANNUM=21031
#          MJD=57528.8193
#          UTC=70789
#     SCANTYPE=track
#     DATAMODE=HIRES
#     TUNEFREQ=1420.0000
# Actual_FREQ1=1420.0000
# Actual_FREQ2=1420.0000
#    LO1Tuning=6870.000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#        NCHAN=1024 
#        FOCUS=37.0709
#           RA=07:17:29.39
#          DEC=-12:29:37.40
#      RA(hrs)=7.291500
#     DEC(deg)=-12.493700
#    AZIM(deg)=159.911
#    ELEV(deg)=36.748
#     IFattens=10.00, 9.00
#      WARNING=None
#    TCAL_XL1=7.9635
#    TCAL_YR1=9.1340
#    TCAL_XL2=7.9635
#    TCAL_YR2=9.1340
#     TRX_XL1=11.7060
#     TRX_YR1=11.7060
#     TRX_XL2=11.7060
#     TRX_YR2=11.7060
#        TAVE=1.0000
#Freq1(MHz)          XL1          YR1  Freq2(MHz)          XL2          YR2 

   1427.81250     355.1665     276.7014   1427.81250     355.1665     276.7014
   1427.79724     356.6613     275.8626   1427.79724     356.6613     275.8626
   1427.78198     357.0825     277.3120   1427.78198     357.0825     277.3120
   1427.76672     358.2567     277.7881   1427.76672     358.2567     277.7881
   1427.75146     359.0022     278.1783   1427.75146     359.0022     278.1783
   1427.73621     359.6592     279.0136   1427.73621     359.6592     279.0136
   1427.72095     360.6509     279.5591   1427.72095     360.6509     279.5591
   1427.70569     361.7511     280.1316   1427.70569     361.7511     280.1316
   1427.69043     362.1355     280.9250   1427.69043     362.1355     280.9250
   1427.67517     363.6784     281.7415   1427.67517     363.6784     281.7415
   1427.65991     365.3129     282.5995   1427.65991     365.3129     282.5995
   1427.64465     365.6371     283.4281   1427.64465     365.6371     283.4281
   1427.62939     367.6111     283.9032   1427.62939     367.6111     283.9032
   1427.61414     368.6135     285.3879   1427.61414     368.6135     285.3879
   1427.59888     370.1454     286.4236   1427.59888     370.1454     286.4236
   1427.58362     370.4611     287.0024   1427.58362     370.4611     287.0024
   1427.56836     372.2162     287.8493   1427.56836     372.2162     287.8493
   1427.55310     374.0079     288.6356   1427.55310     374.0079     288.6356
   1427.53784     375.9674     290.1847   1427.53784     375.9674     290.1847
   1427.52258     376.9904     291.5180   1427.52258     376.9904     291.5180
   1427.50732     379.0561     292.6049   1427.50732     379.0561     292.6049
   1427.49207     380.8587     293.5288   1427.49207     380.8587     293.5288
   1427.47681     382.7738     294.8743   1427.47681     382.7738     294.8743
   1427.46155     383.7384     296.4851   1427.46155     383.7384     296.4851
   1427.44629     385.7132     297.5001   1427.44629     385.7132     297.5001
   1427.43103     387.8801     298.7126   1427.43103     387.8801     298.7126
   1427.41577     389.3797     300.0347   1427.41577     389.3797     300.0347
   1427.40051     391.8351     301.1232   1427.40051     391.8351     301.1232
   1427.38525     393.1409     303.5689   1427.38525     393.1409     303.5689
   1427.37000     395.2114     304.9563   1427.37000     395.2114     304.9563
   1427.35474     397.6193     305.6397   1427.35474     397.6193     305.6397
   1427.33948     399.6540     307.5225   1427.33948     399.6540     307.5225
   1427.32422     401.2408     309.2984   1427.32422     401.2408     309.2984
   1427.30896     403.5747     310.8277   1427.30896     403.5747     310.8277
   1427.29370     405.2072     311.9420   1427.29370     405.2072     311.9420
   1427.27844     407.8172     313.7851   1427.27844     407.8172     313.7851
   1427.26318     410.3257     315.4436   1427.26318     410.3257     315.4436
   1427.24792     412.1896     317.1280   1427.24792     412.1896     317.1280
   1427.23267     414.8328     319.1517   1427.23267     414.8328     319.1517
   1427.21741     417.4042     321.4659   1427.21741     417.4042     321.4659
   1427.20215     419.1339     323.0389   1427.20215     419.1339     323.0389
   1427.18689     422.0089     324.4722   1427.18689     422.0089     324.4722
   1427.17163     424.0322     326.5780   1427.17163     424.0322     326.5780
   1427.15637     426.7148     328.3540   1427.15637     426.7148     328.3540
   1427.14111     429.2525     329.6581   1427.14111     429.2525     329.6581
   1427.12585     431.9076     331.9322   1427.12585     431.9076     331.9322
   1427.11060     434.7707     334.2964   1427.11060     434.7707     334.2964
   1427.09534     436.8011     336.5435   1427.09534     436.8011     336.5435
