#     FILENAME=!Skynet_57528_lach-cc-208_20615_21051.cyb.fits
#     BASENAME=Skynet_57528_lach-cc-208_20615_21051
#     SRC_NAME=lach-cc-208
#     OBSERVER=ccmadison16_9505
#     DATE_OBS=2016-05-20T20:18:50.250
#        OBSID=20615
#      SCANNUM=21051
#          MJD=57528.8475
#          UTC=73220
#     SCANTYPE=track
#     DATAMODE=HIRES
#     TUNEFREQ=1420.0000
# Actual_FREQ1=1420.0000
# Actual_FREQ2=1420.0000
#    LO1Tuning=6870.000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#        NCHAN=1024 
#        FOCUS=37.0709
#           RA=06:42:26.71
#          DEC=04:23:17.23
#      RA(hrs)=6.707400
#     DEC(deg)=4.388100
#    AZIM(deg)=184.738
#    ELEV(deg)=55.693
#     IFattens=10.00, 9.00
#      WARNING=None
#    TCAL_XL1=7.9635
#    TCAL_YR1=9.1340
#    TCAL_XL2=7.9635
#    TCAL_YR2=9.1340
#     TRX_XL1=11.7060
#     TRX_YR1=11.7060
#     TRX_XL2=11.7060
#     TRX_YR2=11.7060
#        TAVE=1.0000
#Freq1(MHz)          XL1          YR1  Freq2(MHz)          XL2          YR2 

   1427.81250     358.4948     264.2995   1427.81250     358.4948     264.2995
   1427.79724     359.7166     265.1243   1427.79724     359.7166     265.1243
   1427.78198     359.3575     266.1854   1427.78198     359.3575     266.1854
   1427.76672     360.2524     266.2475   1427.76672     360.2524     266.2475
   1427.75146     361.6135     267.5278   1427.75146     361.6135     267.5278
   1427.73621     361.8659     268.0195   1427.73621     361.8659     268.0195
   1427.72095     362.8203     269.6165   1427.72095     362.8203     269.6165
   1427.70569     363.4828     269.9445   1427.70569     363.4828     269.9445
   1427.69043     364.5957     271.1517   1427.69043     364.5957     271.1517
   1427.67517     365.8337     271.6754   1427.67517     365.8337     271.6754
   1427.65991     367.1371     273.1026   1427.65991     367.1371     273.1026
   1427.64465     367.7393     274.1169   1427.64465     367.7393     274.1169
   1427.62939     368.2780     275.3016   1427.62939     368.2780     275.3016
   1427.61414     370.4563     276.6696   1427.61414     370.4563     276.6696
   1427.59888     371.1419     277.4745   1427.59888     371.1419     277.4745
   1427.58362     372.3094     278.6442   1427.58362     372.3094     278.6442
   1427.56836     373.9083     279.8094   1427.56836     373.9083     279.8094
   1427.55310     375.4236     281.1971   1427.55310     375.4236     281.1971
   1427.53784     377.4498     282.5258   1427.53784     377.4498     282.5258
   1427.52258     378.8175     283.8716   1427.52258     378.8175     283.8716
   1427.50732     380.0113     285.2878   1427.50732     380.0113     285.2878
   1427.49207     381.4804     286.4575   1427.49207     381.4804     286.4575
   1427.47681     382.8182     287.6064   1427.47681     382.8182     287.6064
   1427.46155     385.7955     290.6429   1427.46155     385.7955     290.6429
   1427.44629     386.5225     291.3558   1427.44629     386.5225     291.3558
   1427.43103     388.4919     292.7235   1427.43103     388.4919     292.7235
   1427.41577     389.9745     294.4606   1427.41577     389.9745     294.4606
   1427.40051     391.9782     295.6839   1427.40051     391.9782     295.6839
   1427.38525     393.9966     297.1341   1427.38525     393.9966     297.1341
   1427.37000     396.1095     299.2218   1427.37000     396.1095     299.2218
   1427.35474     397.8465     300.8578   1427.35474     397.8465     300.8578
   1427.33948     399.9042     302.9385   1427.33948     399.9042     302.9385
   1427.32422     401.5266     304.6277   1427.32422     401.5266     304.6277
   1427.30896     403.6627     306.1708   1427.30896     403.6627     306.1708
   1427.29370     405.8156     307.9822   1427.29370     405.8156     307.9822
   1427.27844     408.1572     309.9916   1427.27844     408.1572     309.9916
   1427.26318     410.4962     312.1966   1427.26318     410.4962     312.1966
   1427.24792     412.7717     313.5011   1427.24792     412.7717     313.5011
   1427.23267     414.7065     315.9872   1427.23267     414.7065     315.9872
   1427.21741     417.1195     317.9718   1427.21741     417.1195     317.9718
   1427.20215     418.8860     319.7349   1427.20215     418.8860     319.7349
   1427.18689     422.2570     322.0938   1427.18689     422.2570     322.0938
   1427.17163     424.2733     324.2479   1427.17163     424.2733     324.2479
   1427.15637     427.1799     326.1624   1427.15637     427.1799     326.1624
   1427.14111     428.9025     328.6227   1427.14111     428.9025     328.6227
   1427.12585     431.1060     330.0152   1427.12585     431.1060     330.0152
   1427.11060     433.7437     332.5705   1427.11060     433.7437     332.5705
   1427.09534     436.7092     335.0273   1427.09534     436.7092     335.0273
   1427.08008     439.2192     336.7488   1427.08008     439.2192     336.7488
   1427.06482     442.0177     339.1317   1427.06482     442.0177     339.1317
   1427.04956     444.2983     341.9493   1427.04956     444.2983     341.9493
   1427.03430     447.2686     343.5249   1427.03430     447.2686     343.5249
   1427.01904     449.6779     345.8149   1427.01904     449.6779     345.8149
   1427.00378     452.5274     348.4071   1427.00378     452.5274     348.4071
   1426.98853     454.8515     350.8743   1426.98853     454.8515     350.8743
   1426.97327     458.3554     352.8688   1426.97327     458.3554     352.8688
   1426.95801     461.2832     355.4882   1426.95801     461.2832     355.4882
   1426.94275     463.2406     357.6410   1426.94275     463.2406     357.6410
   1426.92749     465.1302     360.5510   1426.92749     465.1302     360.5510
   1426.91223     469.0542     361.9966   1426.91223     469.0542     361.9966
   1426.89697     471.2045     364.8405   1426.89697     471.2045     364.8405
   1426.88171     474.0906     366.7103   1426.88171     474.0906     366.7103
   1426.86646     477.5364     369.3284   1426.86646     477.5364     369.3284
   1426.85120     479.5881     372.2386   1426.85120     479.5881     372.2386
   1426.83594     483.0476     374.8003   1426.83594     483.0476     374.8003
   1426.82068     485.1631     377.1103   1426.82068     485.1631     377.1103
   1426.80542     488.4370     379.3259   1426.80542     488.4370     379.3259
   1426.79016     491.5195     381.8065   1426.79016     491.5195     381.8065
   1426.77490     494.2323     383.8951   1426.77490     494.2323     383.8951
   1426.75964     497.3988     386.0298   1426.75964     497.3988     386.0298
   1426.74438     500.4927     389.4306   1426.74438     500.4927     389.4306
   1426.72913     503.2808     391.9298   1426.72913     503.2808     391.9298
   1426.71387     505.7084     394.1819   1426.71387     505.7084     394.1819
   1426.69861     508.6585     397.1948   1426.69861     508.6585     397.1948
   1426.68335     511.4527     399.6955   1426.68335     511.4527     399.6955
   1426.66809     514.6171     402.2633   1426.66809     514.6171     402.2633
   1426.65283     517.8702     404.1653   1426.65283     517.8702     404.1653
   1426.63757     520.6250     406.9534   1426.63757     520.6250     406.9534
   1426.62231     523.9803     412.4507   1426.62231     523.9803     412.4507
   1426.60706     525.7702     412.1073   1426.60706     525.7702     412.1073
   1426.59180     528.8802     414.4558   1426.59180     528.8802     414.4558
   1426.57654     532.7519     417.2376   1426.57654     532.7519     417.2376
   1426.56128     535.6950     419.6618   1426.56128     535.6950     419.6618
   1426.54602     537.4556     422.0935   1426.54602     537.4556     422.0935
   1426.53076     540.5286     425.0570   1426.53076     540.5286     425.0570
   1426.51550     543.8085     427.2463   1426.51550     543.8085     427.2463
   1426.50024     546.5157     429.6083   1426.50024     546.5157     429.6083
   1426.48499     548.9863     431.5788   1426.48499     548.9863     431.5788
   1426.46973     552.3018     434.0526   1426.46973     552.3018     434.0526
   1426.45447     554.5878     437.0765   1426.45447     554.5878     437.0765
   1426.43921     557.8591     439.6131   1426.43921     557.8591     439.6131
   1426.42395     560.4459     441.6613   1426.42395     560.4459     441.6613
   1426.40869     562.6437     444.6493   1426.40869     562.6437     444.6493
   1426.39343     565.8129     447.1530   1426.39343     565.8129     447.1530
   1426.37817     568.8187     449.0823   1426.37817     568.8187     449.0823
   1426.36292     572.0032     452.2673   1426.36292     572.0032     452.2673
   1426.34766     573.4021     453.7910   1426.34766     573.4021     453.7910
   1426.33240     576.6826     456.4321   1426.33240     576.6826     456.4321
   1426.31714     579.5399     459.5054   1426.31714     579.5399     459.5054
   1426.30188     582.5661     461.1653   1426.30188     582.5661     461.1653
   1426.28662     585.0034     463.8450   1426.28662     585.0034     463.8450
   1426.27136     587.5511     466.0743   1426.27136     587.5511     466.0743
   1426.25610     590.5914     468.3766   1426.25610     590.5914     468.3766
   1426.24084     593.3926     470.4422   1426.24084     593.3926     470.4422
   1426.22559     596.4012     473.4643   1426.22559     596.4012     473.4643
   1426.21033     598.4053     475.5376   1426.21033     598.4053     475.5376
   1426.19507     600.5488     478.0179   1426.19507     600.5488     478.0179
   1426.17981     602.4037     480.7487   1426.17981     602.4037     480.7487
   1426.16455     606.1700     482.6363   1426.16455     606.1700     482.6363
   1426.14929     607.8806     484.6511   1426.14929     607.8806     484.6511
   1426.13403     610.6094     486.7657   1426.13403     610.6094     486.7657
   1426.11877     613.2947     488.6567   1426.11877     613.2947     488.6567
   1426.10352     615.7057     491.8141   1426.10352     615.7057     491.8141
   1426.08826     618.3529     493.7977   1426.08826     618.3529     493.7977
