#     FILENAME=!Skynet_57528_lach-cc-86_20533_20932.cyb.fits
#     BASENAME=Skynet_57528_lach-cc-86_20533_20932
#     SRC_NAME=lach-cc-86
#     OBSERVER=ccmadison16_9505
#     DATE_OBS=2016-05-20T16:13:36.500
#        OBSID=20533
#      SCANNUM=20932
#          MJD=57528.6772
#          UTC=58505
#     SCANTYPE=track
#     DATAMODE=HIRES
#     TUNEFREQ=1420.0000
# Actual_FREQ1=1420.0000
# Actual_FREQ2=1420.0000
#    LO1Tuning=6870.000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#        NCHAN=1024 
#        FOCUS=37.0709
#           RA=20:56:20.92
#          DEC=45:21:02.21
#      RA(hrs)=20.939100
#     DEC(deg)=45.350600
#    AZIM(deg)=307.225
#    ELEV(deg)=27.329
#     IFattens=11.00, 10.00
#      WARNING=None
#    TCAL_XL1=7.9635
#    TCAL_YR1=9.1340
#    TCAL_XL2=7.9635
#    TCAL_YR2=9.1340
#     TRX_XL1=11.7060
#     TRX_YR1=11.7060
#     TRX_XL2=11.7060
#     TRX_YR2=11.7060
#        TAVE=1.0000
#Freq1(MHz)          XL1          YR1  Freq2(MHz)          XL2          YR2 

   1427.81250     317.6065     261.5774   1427.81250     317.6065     261.5774
   1427.79724     318.4756     262.4108   1427.79724     318.4756     262.4108
   1427.78198     319.1545     262.5396   1427.78198     319.1545     262.5396
   1427.76672     319.1165     263.5233   1427.76672     319.1165     263.5233
   1427.75146     319.7168     263.8497   1427.75146     319.7168     263.8497
   1427.73621     320.4402     264.8178   1427.73621     320.4402     264.8178
   1427.72095     321.2943     265.6902   1427.72095     321.2943     265.6902
   1427.70569     322.4443     266.3528   1427.70569     322.4443     266.3528
   1427.69043     323.0006     266.5621   1427.69043     323.0006     266.5621
   1427.67517     323.8195     267.6806   1427.67517     323.8195     267.6806
   1427.65991     324.6771     268.2985   1427.65991     324.6771     268.2985
   1427.64465     326.1002     269.4608   1427.64465     326.1002     269.4608
   1427.62939     327.1750     270.5167   1427.62939     327.1750     270.5167
   1427.61414     327.8493     271.6102   1427.61414     327.8493     271.6102
   1427.59888     329.2028     272.7580   1427.59888     329.2028     272.7580
   1427.58362     330.7508     273.4774   1427.58362     330.7508     273.4774
   1427.56836     331.3190     274.6175   1427.56836     331.3190     274.6175
   1427.55310     332.7554     276.1270   1427.55310     332.7554     276.1270
   1427.53784     334.2507     276.9467   1427.53784     334.2507     276.9467
   1427.52258     334.9702     277.7942   1427.52258     334.9702     277.7942
   1427.50732     336.8882     280.0375   1427.50732     336.8882     280.0375
   1427.49207     338.6281     280.6526   1427.49207     338.6281     280.6526
   1427.47681     339.2916     282.0576   1427.47681     339.2916     282.0576
   1427.46155     341.4724     283.1285   1427.46155     341.4724     283.1285
   1427.44629     342.4992     285.2401   1427.44629     342.4992     285.2401
   1427.43103     344.6835     285.7769   1427.43103     344.6835     285.7769
   1427.41577     346.0321     287.8172   1427.41577     346.0321     287.8172
   1427.40051     347.8105     289.2044   1427.40051     347.8105     289.2044
   1427.38525     349.6710     290.4050   1427.38525     349.6710     290.4050
   1427.37000     350.7993     292.3692   1427.37000     350.7993     292.3692
   1427.35474     352.5788     293.5201   1427.35474     352.5788     293.5201
   1427.33948     354.3398     295.0700   1427.33948     354.3398     295.0700
   1427.32422     356.7368     296.9930   1427.32422     356.7368     296.9930
   1427.30896     358.0625     298.3069   1427.30896     358.0625     298.3069
