#     FILENAME=!Skynet_57528_lach-cc-87_20535_20933.cyb.fits
#     BASENAME=Skynet_57528_lach-cc-87_20535_20933
#     SRC_NAME=lach-cc-87
#     OBSERVER=ccmadison16_9505
#     DATE_OBS=2016-05-20T16:15:35.500
#        OBSID=20535
#      SCANNUM=20933
#          MJD=57528.6785
#          UTC=58625
#     SCANTYPE=track
#     DATAMODE=HIRES
#     TUNEFREQ=1420.0000
# Actual_FREQ1=1420.0000
# Actual_FREQ2=1420.0000
#    LO1Tuning=6870.000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#        NCHAN=1024 
#        FOCUS=37.0709
#           RA=21:00:06.86
#          DEC=46:06:25.39
#      RA(hrs)=21.001900
#     DEC(deg)=46.107100
#    AZIM(deg)=307.819
#    ELEV(deg)=27.956
#     IFattens=11.00, 10.00
#      WARNING=None
#    TCAL_XL1=7.9635
#    TCAL_YR1=9.1340
#    TCAL_XL2=7.9635
#    TCAL_YR2=9.1340
#     TRX_XL1=11.7060
#     TRX_YR1=11.7060
#     TRX_XL2=11.7060
#     TRX_YR2=11.7060
#        TAVE=1.0000
#Freq1(MHz)          XL1          YR1  Freq2(MHz)          XL2          YR2 

   1427.81250     303.0765     249.1842   1427.81250     303.0765     249.1842
   1427.79724     304.1282     249.5368   1427.79724     304.1282     249.5368
   1427.78198     304.7922     249.8013   1427.78198     304.7922     249.8013
   1427.76672     305.3356     250.5672   1427.76672     305.3356     250.5672
   1427.75146     305.7332     251.1992   1427.75146     305.7332     251.1992
   1427.73621     305.9260     251.7608   1427.73621     305.9260     251.7608
   1427.72095     307.0826     252.6381   1427.72095     307.0826     252.6381
   1427.70569     307.6998     253.3315   1427.70569     307.6998     253.3315
   1427.69043     308.9205     254.3102   1427.69043     308.9205     254.3102
   1427.67517     309.3366     254.3642   1427.67517     309.3366     254.3642
   1427.65991     310.4338     255.7894   1427.65991     310.4338     255.7894
   1427.64465     310.8917     256.4006   1427.64465     310.8917     256.4006
   1427.62939     311.9625     257.1028   1427.62939     311.9625     257.1028
   1427.61414     313.2508     258.4148   1427.61414     313.2508     258.4148
   1427.59888     315.0374     259.2087   1427.59888     315.0374     259.2087
   1427.58362     315.5792     260.4942   1427.58362     315.5792     260.4942
   1427.56836     317.3036     261.4249   1427.56836     317.3036     261.4249
   1427.55310     318.0826     262.2739   1427.55310     318.0826     262.2739
   1427.53784     319.4306     263.3680   1427.53784     319.4306     263.3680
   1427.52258     320.7495     264.8682   1427.52258     320.7495     264.8682
   1427.50732     321.9705     266.1323   1427.50732     321.9705     266.1323
   1427.49207     323.8764     266.9676   1427.49207     323.8764     266.9676
   1427.47681     324.9982     268.7733   1427.47681     324.9982     268.7733
   1427.46155     326.3389     270.0738   1427.46155     326.3389     270.0738
   1427.44629     328.1812     271.4340   1427.44629     328.1812     271.4340
   1427.43103     329.5217     272.4471   1427.43103     329.5217     272.4471
   1427.41577     330.7964     273.9100   1427.41577     330.7964     273.9100
   1427.40051     332.2097     275.3813   1427.40051     332.2097     275.3813
   1427.38525     333.3339     276.9633   1427.38525     333.3339     276.9633
   1427.37000     335.4441     277.6084   1427.37000     335.4441     277.6084
   1427.35474     337.2927     279.6145   1427.35474     337.2927     279.6145
   1427.33948     339.7453     280.8661   1427.33948     339.7453     280.8661
   1427.32422     341.0607     282.5998   1427.32422     341.0607     282.5998
   1427.30896     342.8852     284.2350   1427.30896     342.8852     284.2350
   1427.29370     344.7364     286.0228   1427.29370     344.7364     286.0228
   1427.27844     346.3048     286.8043   1427.27844     346.3048     286.8043
   1427.26318     348.4561     289.5488   1427.26318     348.4561     289.5488
   1427.24792     350.2035     291.1913   1427.24792     350.2035     291.1913
   1427.23267     351.9063     292.6753   1427.23267     351.9063     292.6753
   1427.21741     354.0738     294.9177   1427.21741     354.0738     294.9177
   1427.20215     356.2868     296.5869   1427.20215     356.2868     296.5869
   1427.18689     358.0776     298.1263   1427.18689     358.0776     298.1263
   1427.17163     360.0074     299.3815   1427.17163     360.0074     299.3815
   1427.15637     362.4653     301.7932   1427.15637     362.4653     301.7932
   1427.14111     363.8844     303.5460   1427.14111     363.8844     303.5460
   1427.12585     366.5891     305.1469   1427.12585     366.5891     305.1469
   1427.11060     368.7902     307.2575   1427.11060     368.7902     307.2575
   1427.09534     370.7977     308.6122   1427.09534     370.7977     308.6122
   1427.08008     373.1343     311.4752   1427.08008     373.1343     311.4752
   1427.06482     375.5361     313.0456   1427.06482     375.5361     313.0456
   1427.04956     377.6104     314.9120   1427.04956     377.6104     314.9120
   1427.03430     380.0105     317.1770   1427.03430     380.0105     317.1770
   1427.01904     381.4631     318.7707   1427.01904     381.4631     318.7707
   1427.00378     384.2289     320.9405   1427.00378     384.2289     320.9405
   1426.98853     386.5228     323.1250   1426.98853     386.5228     323.1250
   1426.97327     388.9055     324.9296   1426.97327     388.9055     324.9296
   1426.95801     390.8859     327.1988   1426.95801     390.8859     327.1988
   1426.94275     393.5072     329.6212   1426.94275     393.5072     329.6212
   1426.92749     396.1589     331.4377   1426.92749     396.1589     331.4377
   1426.91223     398.2672     333.1361   1426.91223     398.2672     333.1361
   1426.89697     400.9734     336.1017   1426.89697     400.9734     336.1017
   1426.88171     403.0587     337.8472   1426.88171     403.0587     337.8472
   1426.86646     405.7005     339.8607   1426.86646     405.7005     339.8607
   1426.85120     408.2234     341.9024   1426.85120     408.2234     341.9024
   1426.83594     411.1488     343.8604   1426.83594     411.1488     343.8604
   1426.82068     412.6888     345.9687   1426.82068     412.6888     345.9687
   1426.80542     415.2521     348.1602   1426.80542     415.2521     348.1602
   1426.79016     418.1780     350.4909   1426.79016     418.1780     350.4909
   1426.77490     420.6667     352.2444   1426.77490     420.6667     352.2444
