#     FILENAME=!Skynet_57528_lach-cc-200_20605_21059.cyb.fits
#     BASENAME=Skynet_57528_lach-cc-200_20605_21059
#     SRC_NAME=lach-cc-200
#     OBSERVER=ccmadison16_9505
#     DATE_OBS=2016-05-20T20:34:52.250
#        OBSID=20605
#      SCANNUM=21059
#          MJD=57528.8585
#          UTC=74170
#     SCANTYPE=track
#     DATAMODE=HIRES
#     TUNEFREQ=1420.0000
# Actual_FREQ1=1420.0000
# Actual_FREQ2=1420.0000
#    LO1Tuning=6870.000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#        NCHAN=1024 
#        FOCUS=37.0709
#           RA=06:27:29.34
#          DEC=11:29:19.58
#      RA(hrs)=6.458200
#     DEC(deg)=11.488800
#    AZIM(deg)=201.829
#    ELEV(deg)=61.275
#     IFattens=10.00, 9.00
#      WARNING=None
#    TCAL_XL1=7.9635
#    TCAL_YR1=9.1340
#    TCAL_XL2=7.9635
#    TCAL_YR2=9.1340
#     TRX_XL1=11.7060
#     TRX_YR1=11.7060
#     TRX_XL2=11.7060
#     TRX_YR2=11.7060
#        TAVE=1.0000
#Freq1(MHz)          XL1          YR1  Freq2(MHz)          XL2          YR2 

   1427.81250     347.4218     264.5094   1427.81250     347.4218     264.5094
   1427.79724     347.8200     265.5235   1427.79724     347.8200     265.5235
   1427.78198     348.4451     266.8296   1427.78198     348.4451     266.8296
   1427.76672     349.1855     267.2182   1427.76672     349.1855     267.2182
   1427.75146     350.0603     268.3672   1427.75146     350.0603     268.3672
   1427.73621     350.8883     269.3294   1427.73621     350.8883     269.3294
   1427.72095     351.5070     269.5524   1427.72095     351.5070     269.5524
   1427.70569     352.8950     271.0767   1427.70569     352.8950     271.0767
   1427.69043     353.2599     272.5883   1427.69043     353.2599     272.5883
   1427.67517     354.8916     272.8331   1427.67517     354.8916     272.8331
   1427.65991     355.3864     274.0987   1427.65991     355.3864     274.0987
   1427.64465     356.7869     275.5032   1427.64465     356.7869     275.5032
   1427.62939     357.9221     276.1534   1427.62939     357.9221     276.1534
   1427.61414     358.7863     277.6310   1427.61414     358.7863     277.6310
   1427.59888     360.7120     279.0161   1427.59888     360.7120     279.0161
   1427.58362     361.5118     280.4952   1427.58362     361.5118     280.4952
   1427.56836     362.9767     281.9120   1427.56836     362.9767     281.9120
   1427.55310     364.3296     283.3278   1427.55310     364.3296     283.3278
   1427.53784     366.6190     285.1329   1427.53784     366.6190     285.1329
   1427.52258     367.6418     285.7933   1427.52258     367.6418     285.7933
   1427.50732     369.3342     287.7589   1427.50732     369.3342     287.7589
   1427.49207     371.0699     288.7224   1427.49207     371.0699     288.7224
   1427.47681     372.1346     290.6388   1427.47681     372.1346     290.6388
   1427.46155     373.9891     292.3358   1427.46155     373.9891     292.3358
   1427.44629     376.4475     293.9604   1427.44629     376.4475     293.9604
   1427.43103     378.2035     295.9171   1427.43103     378.2035     295.9171
   1427.41577     379.1017     297.3878   1427.41577     379.1017     297.3878
   1427.40051     381.7970     299.0866   1427.40051     381.7970     299.0866
   1427.38525     383.7482     300.8424   1427.38525     383.7482     300.8424
   1427.37000     385.6221     302.0708   1427.37000     385.6221     302.0708
   1427.35474     387.1421     304.5519   1427.35474     387.1421     304.5519
   1427.33948     389.4643     306.1174   1427.33948     389.4643     306.1174
   1427.32422     391.6642     308.4243   1427.32422     391.6642     308.4243
   1427.30896     394.4227     310.2090   1427.30896     394.4227     310.2090
   1427.29370     396.4026     312.1867   1427.29370     396.4026     312.1867
   1427.27844     397.6682     313.9150   1427.27844     397.6682     313.9150
   1427.26318     399.5710     316.0846   1427.26318     399.5710     316.0846
   1427.24792     401.6561     317.2347   1427.24792     401.6561     317.2347
   1427.23267     403.8445     319.5194   1427.23267     403.8445     319.5194
   1427.21741     407.3323     321.7102   1427.21741     407.3323     321.7102
   1427.20215     409.3224     324.1809   1427.20215     409.3224     324.1809
   1427.18689     411.4236     325.6423   1427.18689     411.4236     325.6423
   1427.17163     414.4051     328.2234   1427.17163     414.4051     328.2234
   1427.15637     416.1384     331.0015   1427.15637     416.1384     331.0015
   1427.14111     418.9347     333.4196   1427.14111     418.9347     333.4196
   1427.12585     421.6213     335.3010   1427.12585     421.6213     335.3010
   1427.11060     423.6884     337.7597   1427.11060     423.6884     337.7597
   1427.09534     426.5934     339.7911   1427.09534     426.5934     339.7911
   1427.08008     428.7899     342.2954   1427.08008     428.7899     342.2954
   1427.06482     431.4583     344.3614   1427.06482     431.4583     344.3614
   1427.04956     434.4565     347.1664   1427.04956     434.4565     347.1664
   1427.03430     436.6974     349.0091   1427.03430     436.6974     349.0091
   1427.01904     439.1715     351.4595   1427.01904     439.1715     351.4595
   1427.00378     442.3672     353.7739   1427.00378     442.3672     353.7739
   1426.98853     444.1543     355.9494   1426.98853     444.1543     355.9494
   1426.97327     447.3576     358.1242   1426.97327     447.3576     358.1242
   1426.95801     450.5777     361.1791   1426.95801     450.5777     361.1791
   1426.94275     453.2454     362.9719   1426.94275     453.2454     362.9719
   1426.92749     455.7429     365.9631   1426.92749     455.7429     365.9631
   1426.91223     459.1149     368.2869   1426.91223     459.1149     368.2869
   1426.89697     461.7941     370.5269   1426.89697     461.7941     370.5269
   1426.88171     464.5351     373.4648   1426.88171     464.5351     373.4648
   1426.86646     467.3531     375.9945   1426.86646     467.3531     375.9945
   1426.85120     470.0910     378.7505   1426.85120     470.0910     378.7505
   1426.83594     473.0139     381.0655   1426.83594     473.0139     381.0655
   1426.82068     475.4567     383.7114   1426.82068     475.4567     383.7114
   1426.80542     478.3159     386.3980   1426.80542     478.3159     386.3980
   1426.79016     482.8889     388.4511   1426.79016     482.8889     388.4511
   1426.77490     484.6870     391.3541   1426.77490     484.6870     391.3541
   1426.75964     487.6548     393.6022   1426.75964     487.6548     393.6022
   1426.74438     489.7578     396.0699   1426.74438     489.7578     396.0699
   1426.72913     492.2747     399.1311   1426.72913     492.2747     399.1311
   1426.71387     495.7211     400.8972   1426.71387     495.7211     400.8972
   1426.69861     499.1635     403.4930   1426.69861     499.1635     403.4930
   1426.68335     502.1644     407.1114   1426.68335     502.1644     407.1114
   1426.66809     504.9354     409.4208   1426.66809     504.9354     409.4208
   1426.65283     507.3949     411.5254   1426.65283     507.3949     411.5254
   1426.63757     511.2428     414.1299   1426.63757     511.2428     414.1299
   1426.62231     515.9669     422.0033   1426.62231     515.9669     422.0033
   1426.60706     516.6091     419.4128   1426.60706     516.6091     419.4128
   1426.59180     519.5687     421.9795   1426.59180     519.5687     421.9795
   1426.57654     522.0420     423.5694   1426.57654     522.0420     423.5694
   1426.56128     524.9993     427.0817   1426.56128     524.9993     427.0817
   1426.54602     529.0337     429.9759   1426.54602     529.0337     429.9759
   1426.53076     530.0272     432.5266   1426.53076     530.0272     432.5266
   1426.51550     534.3637     435.0017   1426.51550     534.3637     435.0017
   1426.50024     537.7056     437.0377   1426.50024     537.7056     437.0377
   1426.48499     540.1297     439.7068   1426.48499     540.1297     439.7068
   1426.46973     543.4781     442.3784   1426.46973     543.4781     442.3784
   1426.45447     546.2453     445.1196   1426.45447     546.2453     445.1196
   1426.43921     548.3177     447.5914   1426.43921     548.3177     447.5914
   1426.42395     550.9542     449.8954   1426.42395     550.9542     449.8954
   1426.40869     554.8542     452.5507   1426.40869     554.8542     452.5507
   1426.39343     556.9277     454.8057   1426.39343     556.9277     454.8057
   1426.37817     560.6418     458.0566   1426.37817     560.6418     458.0566
   1426.36292     563.8280     459.3857   1426.36292     563.8280     459.3857
   1426.34766     567.4703     462.0248   1426.34766     567.4703     462.0248
   1426.33240     569.1953     464.7046   1426.33240     569.1953     464.7046
   1426.31714     572.2045     467.4002   1426.31714     572.2045     467.4002
   1426.30188     573.9957     469.4667   1426.30188     573.9957     469.4667
