#     FILENAME=!Skynet_57528_lach-hhg-165_20540_20989.cyb.fits
#     BASENAME=Skynet_57528_lach-hhg-165_20540_20989
#     SRC_NAME=lach-hhg-165
#     OBSERVER=hhgmadison16_9500
#     DATE_OBS=2016-05-20T18:08:26.750
#        OBSID=20540
#      SCANNUM=20989
#          MJD=57528.7569
#          UTC=65396
#     SCANTYPE=track
#     DATAMODE=HIRES
#     TUNEFREQ=1420.0000
# Actual_FREQ1=1420.0000
# Actual_FREQ2=1420.0000
#    LO1Tuning=6870.000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#        NCHAN=1024 
#        FOCUS=37.0709
#           RA=05:04:11.19
#          DEC=41:21:07.65
#      RA(hrs)=5.069800
#     DEC(deg)=41.352100
#    AZIM(deg)=51.991
#    ELEV(deg)=84.971
#     IFattens=10.00, 9.00
#      WARNING=None
#    TCAL_XL1=7.9635
#    TCAL_YR1=9.1340
#    TCAL_XL2=7.9635
#    TCAL_YR2=9.1340
#     TRX_XL1=11.7060
#     TRX_YR1=11.7060
#     TRX_XL2=11.7060
#     TRX_YR2=11.7060
#        TAVE=1.0000
#Freq1(MHz)          XL1          YR1  Freq2(MHz)          XL2          YR2 

   1427.81250     373.8298     333.0947   1427.81250     373.8298     333.0947
   1427.79724     373.7658     334.1352   1427.79724     373.7658     334.1352
   1427.78198     374.1903     336.5895   1427.78198     374.1903     336.5895
   1427.76672     375.2803     337.2904   1427.76672     375.2803     337.2904
   1427.75146     375.7267     339.4024   1427.75146     375.7267     339.4024
   1427.73621     376.4959     341.2994   1427.73621     376.4959     341.2994
   1427.72095     377.0559     342.8262   1427.72095     377.0559     342.8262
   1427.70569     379.1820     344.4143   1427.70569     379.1820     344.4143
   1427.69043     380.4920     346.2544   1427.69043     380.4920     346.2544
   1427.67517     380.9321     348.3361   1427.67517     380.9321     348.3361
   1427.65991     381.6666     350.0227   1427.65991     381.6666     350.0227
   1427.64465     382.5182     352.0705   1427.64465     382.5182     352.0705
   1427.62939     383.9270     354.3553   1427.62939     383.9270     354.3553
   1427.61414     385.7530     356.5028   1427.61414     385.7530     356.5028
   1427.59888     386.7443     358.5849   1427.59888     386.7443     358.5849
   1427.58362     388.2213     360.9260   1427.58362     388.2213     360.9260
   1427.56836     389.5186     363.2672   1427.56836     389.5186     363.2672
   1427.55310     390.8903     365.4770   1427.55310     390.8903     365.4770
   1427.53784     392.5959     367.3752   1427.53784     392.5959     367.3752
   1427.52258     393.2767     370.2359   1427.52258     393.2767     370.2359
   1427.50732     395.0184     372.5878   1427.50732     395.0184     372.5878
   1427.49207     397.4314     375.0580   1427.49207     397.4314     375.0580
   1427.47681     398.4500     376.7671   1427.47681     398.4500     376.7671
   1427.46155     400.8667     379.4532   1427.46155     400.8667     379.4532
   1427.44629     402.0734     381.9302   1427.44629     402.0734     381.9302
   1427.43103     404.0146     384.4241   1427.43103     404.0146     384.4241
   1427.41577     405.8721     387.4050   1427.41577     405.8721     387.4050
   1427.40051     407.4916     390.6891   1427.40051     407.4916     390.6891
   1427.38525     409.0434     393.3309   1427.38525     409.0434     393.3309
   1427.37000     412.2379     395.7584   1427.37000     412.2379     395.7584
   1427.35474     413.8484     398.3665   1427.35474     413.8484     398.3665
   1427.33948     416.3442     400.5585   1427.33948     416.3442     400.5585
   1427.32422     417.9179     402.8257   1427.32422     417.9179     402.8257
   1427.30896     420.7256     406.3984   1427.30896     420.7256     406.3984
   1427.29370     421.9050     408.3173   1427.29370     421.9050     408.3173
   1427.27844     424.2259     411.7988   1427.27844     424.2259     411.7988
   1427.26318     426.8884     414.8086   1427.26318     426.8884     414.8086
   1427.24792     428.7334     418.0215   1427.24792     428.7334     418.0215
   1427.23267     431.9333     421.0266   1427.23267     431.9333     421.0266
   1427.21741     434.3460     423.8647   1427.21741     434.3460     423.8647
   1427.20215     436.2962     426.4624   1427.20215     436.2962     426.4624
   1427.18689     438.3925     429.9891   1427.18689     438.3925     429.9891
   1427.17163     442.1006     432.4703   1427.17163     442.1006     432.4703
   1427.15637     443.6047     436.1828   1427.15637     443.6047     436.1828
   1427.14111     446.8275     437.9300   1427.14111     446.8275     437.9300
   1427.12585     449.7007     441.1637   1427.12585     449.7007     441.1637
   1427.11060     452.0946     444.7424   1427.11060     452.0946     444.7424
   1427.09534     454.2867     447.2228   1427.09534     454.2867     447.2228
   1427.08008     457.5123     450.7314   1427.08008     457.5123     450.7314
   1427.06482     460.5053     453.6038   1427.06482     460.5053     453.6038
   1427.04956     462.3017     456.2638   1427.04956     462.3017     456.2638
   1427.03430     465.9386     458.8707   1427.03430     465.9386     458.8707
   1427.01904     468.6104     462.1878   1427.01904     468.6104     462.1878
