#     FILENAME=!Skynet_57528_lach-hhg-144_20472_20968.cyb.fits
#     BASENAME=Skynet_57528_lach-hhg-144_20472_20968
#     SRC_NAME=lach-hhg-144
#     OBSERVER=hhgmadison16_9500
#     DATE_OBS=2016-05-20T17:25:33.250
#        OBSID=20472
#      SCANNUM=20968
#          MJD=57528.7271
#          UTC=62822
#     SCANTYPE=track
#     DATAMODE=HIRES
#     TUNEFREQ=1420.0000
# Actual_FREQ1=1420.0000
# Actual_FREQ2=1420.0000
#    LO1Tuning=6870.000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#        NCHAN=1024 
#        FOCUS=37.0489
#           RA=03:32:12.96
#          DEC=56:09:02.22
#      RA(hrs)=3.536900
#     DEC(deg)=56.150600
#    AZIM(deg)=347.109
#    ELEV(deg)=71.550
#     IFattens=10.00, 9.00
#      WARNING=None
#    TCAL_XL1=7.9635
#    TCAL_YR1=9.1340
#    TCAL_XL2=7.9635
#    TCAL_YR2=9.1340
#     TRX_XL1=11.7060
#     TRX_YR1=11.7060
#     TRX_XL2=11.7060
#     TRX_YR2=11.7060
#        TAVE=1.0000
#Freq1(MHz)          XL1          YR1  Freq2(MHz)          XL2          YR2 

   1427.81250     379.6648     321.4299   1427.81250     379.6648     321.4299
   1427.79724     380.7355     322.3548   1427.79724     380.7355     322.3548
   1427.78198     380.7288     323.7493   1427.78198     380.7288     323.7493
   1427.76672     382.1398     324.9524   1427.76672     382.1398     324.9524
   1427.75146     382.6511     325.7217   1427.75146     382.6511     325.7217
   1427.73621     383.7942     327.4903   1427.73621     383.7942     327.4903
   1427.72095     383.5347     329.0587   1427.72095     383.5347     329.0587
   1427.70569     385.7856     329.7637   1427.70569     385.7856     329.7637
   1427.69043     386.2310     331.5969   1427.69043     386.2310     331.5969
   1427.67517     387.2784     332.3269   1427.67517     387.2784     332.3269
   1427.65991     389.4519     334.4244   1427.65991     389.4519     334.4244
   1427.64465     389.3785     335.6347   1427.64465     389.3785     335.6347
   1427.62939     391.1167     337.2843   1427.62939     391.1167     337.2843
   1427.61414     392.3561     338.5795   1427.61414     392.3561     338.5795
   1427.59888     393.7199     340.4051   1427.59888     393.7199     340.4051
   1427.58362     395.3207     342.4081   1427.58362     395.3207     342.4081
   1427.56836     396.3095     343.4019   1427.56836     396.3095     343.4019
   1427.55310     398.1613     345.6494   1427.55310     398.1613     345.6494
   1427.53784     399.5057     347.2325   1427.53784     399.5057     347.2325
   1427.52258     400.8925     349.0935   1427.52258     400.8925     349.0935
   1427.50732     402.4712     351.2997   1427.50732     402.4712     351.2997
   1427.49207     404.6929     352.1572   1427.49207     404.6929     352.1572
   1427.47681     406.0661     354.7794   1427.47681     406.0661     354.7794
   1427.46155     408.8587     356.9753   1427.46155     408.8587     356.9753
   1427.44629     409.9094     358.6127   1427.44629     409.9094     358.6127
   1427.43103     411.4191     360.0320   1427.43103     411.4191     360.0320
   1427.41577     414.0745     362.4445   1427.41577     414.0745     362.4445
   1427.40051     416.0554     364.3418   1427.40051     416.0554     364.3418
   1427.38525     417.3070     366.2178   1427.38525     417.3070     366.2178
   1427.37000     419.8423     368.7052   1427.37000     419.8423     368.7052
   1427.35474     422.3730     370.7922   1427.35474     422.3730     370.7922
   1427.33948     424.5371     372.8532   1427.33948     424.5371     372.8532
   1427.32422     426.7241     374.9584   1427.32422     426.7241     374.9584
   1427.30896     428.4092     376.9638   1427.30896     428.4092     376.9638
   1427.29370     430.8488     378.8457   1427.29370     430.8488     378.8457
   1427.27844     433.5233     381.3184   1427.27844     433.5233     381.3184
   1427.26318     435.5903     383.7216   1427.26318     435.5903     383.7216
   1427.24792     438.1618     386.1638   1427.24792     438.1618     386.1638
   1427.23267     440.7757     387.8870   1427.23267     440.7757     387.8870
   1427.21741     443.0272     390.1042   1427.21741     443.0272     390.1042
   1427.20215     445.6740     392.1722   1427.20215     445.6740     392.1722
   1427.18689     447.6084     395.1744   1427.18689     447.6084     395.1744
   1427.17163     450.4526     397.3929   1427.17163     450.4526     397.3929
   1427.15637     454.0968     399.4062   1427.15637     454.0968     399.4062
   1427.14111     455.5436     401.5881   1427.14111     455.5436     401.5881
   1427.12585     459.0617     404.9702   1427.12585     459.0617     404.9702
   1427.11060     461.1952     406.2338   1427.11060     461.1952     406.2338
   1427.09534     463.9792     409.0227   1427.09534     463.9792     409.0227
