#     FILENAME=!Skynet_57528_lach-hhg-119_20398_20943.cyb.fits
#     BASENAME=Skynet_57528_lach-hhg-119_20398_20943
#     SRC_NAME=lach-hhg-119
#     OBSERVER=hhgmadison16_9500
#     DATE_OBS=2016-05-20T16:35:41.430
#        OBSID=20398
#      SCANNUM=20943
#          MJD=57528.6925
#          UTC=59830
#     SCANTYPE=track
#     DATAMODE=HIRES
#     TUNEFREQ=1420.0000
# Actual_FREQ1=1420.0000
# Actual_FREQ2=1420.0000
#    LO1Tuning=6870.000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#        NCHAN=1024 
#        FOCUS=37.0709
#           RA=00:17:10.97
#          DEC=62:36:36.32
#      RA(hrs)=0.286400
#     DEC(deg)=62.610100
#    AZIM(deg)=326.681
#    ELEV(deg)=54.348
#     IFattens=10.00, 9.00
#      WARNING=None
#    TCAL_XL1=7.9635
#    TCAL_YR1=9.1340
#    TCAL_XL2=7.9635
#    TCAL_YR2=9.1340
#     TRX_XL1=11.7060
#     TRX_YR1=11.7060
#     TRX_XL2=11.7060
#     TRX_YR2=11.7060
#        TAVE=1.0000
#Freq1(MHz)          XL1          YR1  Freq2(MHz)          XL2          YR2 

   1427.81250     374.3496     277.5985   1427.81250     374.3496     277.5985
   1427.79724     375.6589     277.7711   1427.79724     375.6589     277.7711
   1427.78198     376.1333     278.7444   1427.78198     376.1333     278.7444
   1427.76672     376.8851     279.7035   1427.76672     376.8851     279.7035
   1427.75146     377.9850     280.6463   1427.75146     377.9850     280.6463
   1427.73621     378.1326     281.0284   1427.73621     378.1326     281.0284
   1427.72095     380.1778     281.7286   1427.72095     380.1778     281.7286
   1427.70569     380.4968     283.4394   1427.70569     380.4968     283.4394
   1427.69043     382.0587     284.5568   1427.69043     382.0587     284.5568
   1427.67517     382.9994     285.1718   1427.67517     382.9994     285.1718
   1427.65991     384.3453     286.7444   1427.65991     384.3453     286.7444
   1427.64465     385.2930     287.3006   1427.64465     385.2930     287.3006
   1427.62939     386.6545     288.8205   1427.62939     386.6545     288.8205
   1427.61414     387.3131     290.0095   1427.61414     387.3131     290.0095
   1427.59888     389.1828     291.0004   1427.59888     389.1828     291.0004
   1427.58362     390.3759     292.3031   1427.58362     390.3759     292.3031
   1427.56836     391.7413     293.9313   1427.56836     391.7413     293.9313
   1427.55310     393.7563     295.0353   1427.55310     393.7563     295.0353
   1427.53784     394.7092     296.2114   1427.53784     394.7092     296.2114
   1427.52258     396.6326     298.0528   1427.52258     396.6326     298.0528
   1427.50732     398.5133     299.2396   1427.50732     398.5133     299.2396
   1427.49207     400.5187     300.8162   1427.49207     400.5187     300.8162
   1427.47681     401.7939     302.3727   1427.47681     401.7939     302.3727
   1427.46155     404.3293     304.3511   1427.46155     404.3293     304.3511
   1427.44629     405.6497     305.9181   1427.44629     405.6497     305.9181
   1427.43103     407.6624     307.2492   1427.43103     407.6624     307.2492
   1427.41577     409.8030     308.7153   1427.41577     409.8030     308.7153
   1427.40051     411.3057     310.1106   1427.40051     411.3057     310.1106
   1427.38525     413.2090     312.4123   1427.38525     413.2090     312.4123
   1427.37000     415.9896     313.9727   1427.37000     415.9896     313.9727
   1427.35474     417.9266     315.9282   1427.35474     417.9266     315.9282
   1427.33948     419.1328     318.0843   1427.33948     419.1328     318.0843
   1427.32422     422.2270     319.4975   1427.32422     422.2270     319.4975
   1427.30896     424.2381     321.4030   1427.30896     424.2381     321.4030
   1427.29370     425.9682     323.7285   1427.29370     425.9682     323.7285
   1427.27844     429.0169     325.2102   1427.27844     429.0169     325.2102
   1427.26318     431.6295     327.3654   1427.26318     431.6295     327.3654
   1427.24792     433.9496     329.3660   1427.24792     433.9496     329.3660
   1427.23267     436.0814     331.7445   1427.23267     436.0814     331.7445
   1427.21741     438.6458     332.9433   1427.21741     438.6458     332.9433
   1427.20215     441.4435     335.4043   1427.20215     441.4435     335.4043
   1427.18689     443.3569     337.4892   1427.18689     443.3569     337.4892
   1427.17163     446.7210     340.0831   1427.17163     446.7210     340.0831
   1427.15637     448.5290     341.9696   1427.15637     448.5290     341.9696
   1427.14111     451.3597     344.3747   1427.14111     451.3597     344.3747
   1427.12585     453.3203     347.1534   1427.12585     453.3203     347.1534
   1427.11060     457.1531     349.0003   1427.11060     457.1531     349.0003
   1427.09534     459.3541     350.7334   1427.09534     459.3541     350.7334
   1427.08008     461.9042     353.3629   1427.08008     461.9042     353.3629
   1427.06482     464.1675     356.3671   1427.06482     464.1675     356.3671
   1427.04956     467.2695     358.0758   1427.04956     467.2695     358.0758
   1427.03430     471.3124     360.0672   1427.03430     471.3124     360.0672
   1427.01904     472.4845     362.8358   1427.01904     472.4845     362.8358
   1427.00378     476.3535     364.8654   1427.00378     476.3535     364.8654
   1426.98853     478.5845     367.3692   1426.98853     478.5845     367.3692
   1426.97327     482.7330     370.3956   1426.97327     482.7330     370.3956
   1426.95801     484.3688     372.3535   1426.95801     484.3688     372.3535
   1426.94275     487.9171     374.8062   1426.94275     487.9171     374.8062
   1426.92749     491.1044     376.8747   1426.92749     491.1044     376.8747
   1426.91223     493.7628     379.6057   1426.91223     493.7628     379.6057
   1426.89697     496.5650     382.0341   1426.89697     496.5650     382.0341
   1426.88171     499.4646     384.4142   1426.88171     499.4646     384.4142
   1426.86646     502.6151     387.4075   1426.86646     502.6151     387.4075
   1426.85120     505.5067     388.8800   1426.85120     505.5067     388.8800
   1426.83594     508.4643     392.0963   1426.83594     508.4643     392.0963
   1426.82068     512.6348     394.7648   1426.82068     512.6348     394.7648
   1426.80542     514.8990     396.5850   1426.80542     514.8990     396.5850
   1426.79016     517.6959     399.9195   1426.79016     517.6959     399.9195
   1426.77490     520.6234     402.5004   1426.77490     520.6234     402.5004
