#     FILENAME=!Skynet_57528_lach-hhg-161_20529_20985.cyb.fits
#     BASENAME=Skynet_57528_lach-hhg-161_20529_20985
#     SRC_NAME=lach-hhg-161
#     OBSERVER=hhgmadison16_9500
#     DATE_OBS=2016-05-20T18:00:06.680
#        OBSID=20529
#      SCANNUM=20985
#          MJD=57528.7511
#          UTC=64895
#     SCANTYPE=track
#     DATAMODE=HIRES
#     TUNEFREQ=1420.0000
# Actual_FREQ1=1420.0000
# Actual_FREQ2=1420.0000
#    LO1Tuning=6870.000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#        NCHAN=1024 
#        FOCUS=37.0709
#           RA=04:50:33.90
#          DEC=44:28:51.37
#      RA(hrs)=4.842700
#     DEC(deg)=44.480900
#    AZIM(deg)=24.241
#    ELEV(deg)=83.198
#     IFattens=10.00, 9.00
#      WARNING=None
#    TCAL_XL1=7.9635
#    TCAL_YR1=9.1340
#    TCAL_XL2=7.9635
#    TCAL_YR2=9.1340
#     TRX_XL1=11.7060
#     TRX_YR1=11.7060
#     TRX_XL2=11.7060
#     TRX_YR2=11.7060
#        TAVE=1.0000
#Freq1(MHz)          XL1          YR1  Freq2(MHz)          XL2          YR2 

   1427.81250     374.3390     338.2579   1427.81250     374.3390     338.2579
   1427.79724     374.8789     339.5085   1427.79724     374.8789     339.5085
   1427.78198     375.6436     340.7203   1427.78198     375.6436     340.7203
   1427.76672     376.8436     343.2029   1427.76672     376.8436     343.2029
   1427.75146     377.3925     344.9490   1427.75146     377.3925     344.9490
   1427.73621     378.7740     346.7366   1427.73621     378.7740     346.7366
   1427.72095     379.0568     348.2461   1427.72095     379.0568     348.2461
   1427.70569     379.7706     350.0618   1427.70569     379.7706     350.0618
   1427.69043     380.5380     352.3033   1427.69043     380.5380     352.3033
   1427.67517     382.2501     353.6428   1427.67517     382.2501     353.6428
   1427.65991     382.8620     355.3865   1427.65991     382.8620     355.3865
   1427.64465     383.9125     358.5223   1427.64465     383.9125     358.5223
   1427.62939     385.6437     359.8576   1427.62939     385.6437     359.8576
   1427.61414     386.3291     361.5763   1427.61414     386.3291     361.5763
   1427.59888     387.8897     364.0518   1427.59888     387.8897     364.0518
   1427.58362     389.1346     366.4987   1427.58362     389.1346     366.4987
   1427.56836     390.5046     368.8575   1427.56836     390.5046     368.8575
   1427.55310     390.9550     371.3797   1427.55310     390.9550     371.3797
   1427.53784     393.2514     373.5077   1427.53784     393.2514     373.5077
   1427.52258     395.2089     376.0683   1427.52258     395.2089     376.0683
   1427.50732     396.4353     378.4949   1427.50732     396.4353     378.4949
   1427.49207     397.5884     380.8842   1427.49207     397.5884     380.8842
   1427.47681     399.5343     382.8662   1427.47681     399.5343     382.8662
   1427.46155     402.5661     385.8264   1427.46155     402.5661     385.8264
