#     FILENAME=!Skynet_57528_lach-hhg-179_20568_21002.cyb.fits
#     BASENAME=Skynet_57528_lach-hhg-179_20568_21002
#     SRC_NAME=lach-hhg-179
#     OBSERVER=hhgmadison16_9500
#     DATE_OBS=2016-05-20T18:38:09.120
#        OBSID=20568
#      SCANNUM=21002
#          MJD=57528.7775
#          UTC=67178
#     SCANTYPE=track
#     DATAMODE=HIRES
#     TUNEFREQ=1420.0000
# Actual_FREQ1=1420.0000
# Actual_FREQ2=1420.0000
#    LO1Tuning=6870.000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#        NCHAN=1024 
#        FOCUS=37.0709
#           RA=05:43:10.92
#          DEC=29:47:20.30
#      RA(hrs)=5.719700
#     DEC(deg)=29.789000
#    AZIM(deg)=141.699
#    ELEV(deg)=79.264
#     IFattens=10.00, 9.00
#      WARNING=None
#    TCAL_XL1=7.9635
#    TCAL_YR1=9.1340
#    TCAL_XL2=7.9635
#    TCAL_YR2=9.1340
#     TRX_XL1=11.7060
#     TRX_YR1=11.7060
#     TRX_XL2=11.7060
#     TRX_YR2=11.7060
#        TAVE=1.0000
#Freq1(MHz)          XL1          YR1  Freq2(MHz)          XL2          YR2 

   1427.81250     379.0963     344.6519   1427.81250     379.0963     344.6519
   1427.79724     380.4173     346.1223   1427.79724     380.4173     346.1223
   1427.78198     381.2408     347.6949   1427.78198     381.2408     347.6949
   1427.76672     381.2479     349.0965   1427.76672     381.2479     349.0965
   1427.75146     382.2132     351.2592   1427.75146     382.2132     351.2592
   1427.73621     383.2027     353.5099   1427.73621     383.2027     353.5099
   1427.72095     384.2727     355.3835   1427.72095     384.2727     355.3835
   1427.70569     384.8169     356.9817   1427.70569     384.8169     356.9817
   1427.69043     385.6830     359.6317   1427.69043     385.6830     359.6317
   1427.67517     387.0348     361.0936   1427.67517     387.0348     361.0936
   1427.65991     388.4395     363.0173   1427.65991     388.4395     363.0173
   1427.64465     389.5653     365.0238   1427.64465     389.5653     365.0238
   1427.62939     390.7599     367.0523   1427.62939     390.7599     367.0523
   1427.61414     392.4359     369.6555   1427.61414     392.4359     369.6555
   1427.59888     393.2051     372.0064   1427.59888     393.2051     372.0064
   1427.58362     394.1421     373.5958   1427.58362     394.1421     373.5958
   1427.56836     396.0946     376.8291   1427.56836     396.0946     376.8291
   1427.55310     397.5577     378.3842   1427.55310     397.5577     378.3842
