#     FILENAME=!Skynet_57528_lach-cc-234_20650_21022.cyb.fits
#     BASENAME=Skynet_57528_lach-cc-234_20650_21022
#     SRC_NAME=lach-cc-234
#     OBSERVER=ccmadison16_9505
#     DATE_OBS=2016-05-20T19:19:55.250
#        OBSID=20650
#      SCANNUM=21022
#          MJD=57528.8066
#          UTC=69685
#     SCANTYPE=track
#     DATAMODE=HIRES
#     TUNEFREQ=1420.0000
# Actual_FREQ1=1420.0000
# Actual_FREQ2=1420.0000
#    LO1Tuning=6870.000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#        NCHAN=1024 
#        FOCUS=37.0709
#           RA=07:31:20.64
#          DEC=-18:39:26.42
#      RA(hrs)=7.522400
#     DEC(deg)=-18.657300
#    AZIM(deg)=153.461
#    ELEV(deg)=28.435
#     IFattens=10.00, 9.00
#      WARNING=None
#    TCAL_XL1=7.9635
#    TCAL_YR1=9.1340
#    TCAL_XL2=7.9635
#    TCAL_YR2=9.1340
#     TRX_XL1=11.7060
#     TRX_YR1=11.7060
#     TRX_XL2=11.7060
#     TRX_YR2=11.7060
#        TAVE=1.0000
#Freq1(MHz)          XL1          YR1  Freq2(MHz)          XL2          YR2 

   1427.81250     369.4754     289.9879   1427.81250     369.4754     289.9879
   1427.79724     369.8041     290.0074   1427.79724     369.8041     290.0074
   1427.78198     371.1132     290.9176   1427.78198     371.1132     290.9176
   1427.76672     371.8341     291.2535   1427.76672     371.8341     291.2535
   1427.75146     372.9258     292.2950   1427.75146     372.9258     292.2950
   1427.73621     373.5169     292.8404   1427.73621     373.5169     292.8404
   1427.72095     373.6570     293.5327   1427.72095     373.6570     293.5327
   1427.70569     374.9389     294.5116   1427.70569     374.9389     294.5116
   1427.69043     377.0555     294.8089   1427.69043     377.0555     294.8089
   1427.67517     376.9439     295.8752   1427.67517     376.9439     295.8752
   1427.65991     378.9988     296.5046   1427.65991     378.9988     296.5046
   1427.64465     379.6618     297.5112   1427.64465     379.6618     297.5112
   1427.62939     381.0918     298.6330   1427.62939     381.0918     298.6330
   1427.61414     382.2932     299.3945   1427.61414     382.2932     299.3945
   1427.59888     383.7838     300.2168   1427.59888     383.7838     300.2168
   1427.58362     385.2451     301.6951   1427.58362     385.2451     301.6951
   1427.56836     386.6432     302.4174   1427.56836     386.6432     302.4174
   1427.55310     387.8961     303.6455   1427.55310     387.8961     303.6455
   1427.53784     390.1150     304.9868   1427.53784     390.1150     304.9868
   1427.52258     391.8860     306.0863   1427.52258     391.8860     306.0863
   1427.50732     392.9836     307.6407   1427.50732     392.9836     307.6407
   1427.49207     394.5740     308.2571   1427.49207     394.5740     308.2571
   1427.47681     396.3452     309.8686   1427.47681     396.3452     309.8686
   1427.46155     399.7537     311.4329   1427.46155     399.7537     311.4329
   1427.44629     399.7234     312.7608   1427.44629     399.7234     312.7608
   1427.43103     402.1508     314.3402   1427.43103     402.1508     314.3402
   1427.41577     403.7015     315.6443   1427.41577     403.7015     315.6443
   1427.40051     405.9363     317.1230   1427.40051     405.9363     317.1230
