#     FILENAME=!Skynet_57528_lach-hhg-156_20512_20980.cyb.fits
#     BASENAME=Skynet_57528_lach-hhg-156_20512_20980
#     SRC_NAME=lach-hhg-156
#     OBSERVER=hhgmadison16_9500
#     DATE_OBS=2016-05-20T17:49:46.680
#        OBSID=20512
#      SCANNUM=20980
#          MJD=57528.7439
#          UTC=64275
#     SCANTYPE=track
#     DATAMODE=HIRES
#     TUNEFREQ=1420.0000
# Actual_FREQ1=1420.0000
# Actual_FREQ2=1420.0000
#    LO1Tuning=6870.000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#        NCHAN=1024 
#        FOCUS=37.0709
#           RA=04:31:22.13
#          DEC=48:13:50.42
#      RA(hrs)=4.522800
#     DEC(deg)=48.230700
#    AZIM(deg)=6.260
#    ELEV(deg)=80.027
#     IFattens=10.00, 9.00
#      WARNING=None
#    TCAL_XL1=7.9635
#    TCAL_YR1=9.1340
#    TCAL_XL2=7.9635
#    TCAL_YR2=9.1340
#     TRX_XL1=11.7060
#     TRX_YR1=11.7060
#     TRX_XL2=11.7060
#     TRX_YR2=11.7060
#        TAVE=1.0000
#Freq1(MHz)          XL1          YR1  Freq2(MHz)          XL2          YR2 

   1427.81250     377.2175     339.6338   1427.81250     377.2175     339.6338
   1427.79724     377.7975     341.1953   1427.79724     377.7975     341.1953
   1427.78198     378.5793     342.8022   1427.78198     378.5793     342.8022
   1427.76672     379.3586     344.1921   1427.76672     379.3586     344.1921
   1427.75146     379.8268     345.5095   1427.75146     379.8268     345.5095
   1427.73621     381.6172     347.4355   1427.73621     381.6172     347.4355
   1427.72095     381.9380     349.1527   1427.72095     381.9380     349.1527
   1427.70569     382.9390     351.3415   1427.70569     382.9390     351.3415
   1427.69043     384.1310     352.4427   1427.69043     384.1310     352.4427
   1427.67517     384.5698     354.8180   1427.67517     384.5698     354.8180
   1427.65991     385.9230     357.4168   1427.65991     385.9230     357.4168
   1427.64465     387.1862     358.9958   1427.64465     387.1862     358.9958
   1427.62939     388.2966     360.9963   1427.62939     388.2966     360.9963
   1427.61414     389.4602     363.0346   1427.61414     389.4602     363.0346
   1427.59888     390.8882     365.6304   1427.59888     390.8882     365.6304
   1427.58362     392.3399     366.8312   1427.58362     392.3399     366.8312
   1427.56836     394.3142     369.4171   1427.56836     394.3142     369.4171
   1427.55310     395.0659     371.5198   1427.55310     395.0659     371.5198
   1427.53784     397.6374     373.5002   1427.53784     397.6374     373.5002
   1427.52258     398.8290     376.1477   1427.52258     398.8290     376.1477
   1427.50732     399.5917     377.5001   1427.50732     399.5917     377.5001
   1427.49207     401.3690     380.5478   1427.49207     401.3690     380.5478
   1427.47681     402.6547     382.5752   1427.47681     402.6547     382.5752
   1427.46155     404.9362     385.2240   1427.46155     404.9362     385.2240
   1427.44629     406.6661     387.9789   1427.44629     406.6661     387.9789
   1427.43103     409.3542     390.5634   1427.43103     409.3542     390.5634
   1427.41577     410.6727     392.7640   1427.41577     410.6727     392.7640
   1427.40051     412.4811     395.6400   1427.40051     412.4811     395.6400
   1427.38525     413.8992     398.3005   1427.38525     413.8992     398.3005
   1427.37000     417.3531     400.1566   1427.37000     417.3531     400.1566
   1427.35474     418.5320     402.7643   1427.35474     418.5320     402.7643
   1427.33948     420.7108     405.1194   1427.33948     420.7108     405.1194
   1427.32422     422.3862     407.9645   1427.32422     422.3862     407.9645
   1427.30896     424.9897     410.4874   1427.30896     424.9897     410.4874
