#     FILENAME=!Skynet_57528_lach-cc-83_20526_20929.cyb.fits
#     BASENAME=Skynet_57528_lach-cc-83_20526_20929
#     SRC_NAME=lach-cc-83
#     OBSERVER=ccmadison16_9505
#     DATE_OBS=2016-05-20T16:07:36.870
#        OBSID=20526
#      SCANNUM=20929
#          MJD=57528.6730
#          UTC=58145
#     SCANTYPE=track
#     DATAMODE=HIRES
#     TUNEFREQ=1420.0000
# Actual_FREQ1=1420.0000
# Actual_FREQ2=1420.0000
#    LO1Tuning=6870.000
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#        NCHAN=1024 
#        FOCUS=37.0709
#           RA=20:45:42.03
#          DEC=43:02:09.50
#      RA(hrs)=20.761700
#     DEC(deg)=43.036000
#    AZIM(deg)=305.406
#    ELEV(deg)=25.485
#     IFattens=11.00, 10.00
#      WARNING=None
#    TCAL_XL1=7.9635
#    TCAL_YR1=9.1340
#    TCAL_XL2=7.9635
#    TCAL_YR2=9.1340
#     TRX_XL1=11.7060
#     TRX_YR1=11.7060
#     TRX_XL2=11.7060
#     TRX_YR2=11.7060
#        TAVE=1.0000
#Freq1(MHz)          XL1          YR1  Freq2(MHz)          XL2          YR2 

   1427.81250     332.2106     277.3603   1427.81250     332.2106     277.3603
   1427.79724     332.7006     277.5822   1427.79724     332.7006     277.5822
   1427.78198     333.2344     278.4752   1427.78198     333.2344     278.4752
   1427.76672     334.0788     279.0261   1427.76672     334.0788     279.0261
   1427.75146     335.0685     280.1225   1427.75146     335.0685     280.1225
   1427.73621     335.1133     280.4727   1427.73621     335.1133     280.4727
   1427.72095     336.4581     281.1266   1427.72095     336.4581     281.1266
   1427.70569     337.2359     282.1021   1427.70569     337.2359     282.1021
   1427.69043     337.5430     283.1235   1427.69043     337.5430     283.1235
   1427.67517     338.5944     283.9658   1427.67517     338.5944     283.9658
   1427.65991     339.8436     284.8817   1427.65991     339.8436     284.8817
   1427.64465     340.9028     285.8581   1427.64465     340.9028     285.8581
   1427.62939     341.7249     285.9792   1427.62939     341.7249     285.9792
   1427.61414     343.0672     287.4453   1427.61414     343.0672     287.4453
   1427.59888     344.1980     288.8643   1427.59888     344.1980     288.8643
   1427.58362     345.5055     289.7950   1427.58362     345.5055     289.7950
   1427.56836     346.5576     291.2904   1427.56836     346.5576     291.2904
   1427.55310     348.0292     291.9487   1427.55310     348.0292     291.9487
   1427.53784     348.9704     293.1247   1427.53784     348.9704     293.1247
